"STATION","NAME","DATE","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-11","74","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-12","75","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-13","80","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-14","86","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-15","93","65"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-16","74","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-17","78","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-18","78","59"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-19","83","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-20","80","66"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-21","84","64"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-22","88","63"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-23","90","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-24","91","74"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-25","89","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-26","85","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-27","98","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-28","97","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-29","98","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-06-30","84","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-01","86","66"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-02","96","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-03","84","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-04","90","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-05","93","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-06","86","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-07","86","66"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-08","76","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-09","89","69"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-10","89","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-11","92","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-12","93","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-13","88","71"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-14","91","67"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-15","95","74"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-16","103","79"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-17","102","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-18","93","72"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-19","94","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-20","98","81"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-21","100","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-22","94","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-23","81","74"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-24","85","73"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-25","90","70"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-26","93","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-27","90","75"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-28","90","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-29","91","77"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-30","92","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-07-31","92","76"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1980-08-01","98","79"
